@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
3,3,3,1,20,1,13,4,0
3,3,3,1,18,0,11,6,0
1,1,1,1,12,0,6,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,18,0,10,7,0
3,3,3,1,27,2,16,8,0
1,1,1,1,11,0,6,5,0
2,2,2,1,20,0,15,4,0
0,0,0,0,0,0,0,0,0
2,2,2,2,21,0,8,12,0
1,1,2,1,13,0,8,5,0
1,1,2,1,12,0,8,4,0
1,1,1,1,2,0,2,0,0
4,3,4,1,24,0,15,8,0
1,1,1,1,9,0,4,4,0
1,1,1,1,10,0,6,4,0
2,2,2,1,12,0,7,4,0
0,0,0,0,0,0,0,0,0
2,2,2,1,18,0,10,7,0
0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,4,1,0
7,7,8,3,38,1,25,12,0
1,1,1,1,7,0,4,3,0
2,2,2,1,14,0,10,3,0
1,1,1,1,11,0,6,4,0
2,2,2,1,8,0,6,2,0
0,0,0,0,0,0,0,0,0
2,2,2,1,14,0,8,4,0
2,2,2,1,19,0,11,7,0
2,2,2,1,13,0,13,0,0
1,1,1,1,14,0,5,8,0
2,2,2,1,13,0,9,3,0
0,0,0,0,0,0,0,0,0
2,2,3,2,15,0,8,6,0
3,3,3,2,15,0,13,2,0
2,2,3,1,18,0,11,5,1
8,8,10,1,65,5,52,8,0
1,1,1,1,8,0,4,3,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,3,4,1,23,0,16,5,0
1,1,1,1,11,0,6,5,0
2,2,3,1,14,0,9,5,0
1,1,1,1,13,0,8,4,0
2,2,2,1,13,0,7,5,0
1,1,2,1,14,0,8,5,0
1,1,1,1,6,0,3,3,0
1,1,2,1,15,0,8,6,0
1,1,1,1,11,0,6,4,0
1,1,1,1,10,0,5,5,0
1,1,1,1,17,0,7,9,0
1,1,1,1,18,1,7,10,0
0,0,0,0,0,0,0,0,0
1,1,1,1,16,0,7,8,0
1,1,1,1,15,1,6,7,0
2,2,2,1,12,0,7,4,0
1,1,1,1,10,0,6,4,0
1,1,1,1,7,0,6,0,0
2,2,3,1,20,1,12,6,0
1,1,1,1,11,0,6,4,0
1,1,1,1,9,0,4,4,0
0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,4,4,0
3,3,3,1,19,0,12,6,0
2,2,2,1,9,0,7,2,0
1,1,1,1,8,0,3,4,0
2,2,3,1,16,0,12,4,0
2,2,2,1,19,0,14,4,1
3,3,4,1,25,0,19,5,0
1,1,1,1,15,0,9,5,0
2,2,2,1,18,0,12,5,0
1,1,1,1,9,0,4,5,0
1,1,1,1,9,0,4,4,0
1,1,1,1,9,0,4,4,0
2,2,2,1,21,0,12,8,0
1,1,2,1,11,0,6,4,0
1,1,1,1,11,0,4,6,0
1,1,1,1,12,0,5,6,0
1,1,1,1,12,0,4,7,0
1,1,1,1,18,2,8,8,0
